,M
1347,-14971
1348,-14262
1349,-13440
1350,-12529
1351,-11550
1352,-10520
1353,-9468
1354,-8402
1355,-7359
1356,-6338
1357,-5372
1358,-4468
1359,-3634
1360,-2898
1361,-2240
1362,-1692
1363,-1233
1364,-878
1365,-611
1366,-435
1367,-330
1368,-296
1369,-308
1370,-361
1371,-431
1372,-505
1373,-563
1374,-586
1375,-568
1376,-472
1377,-308
1378,-37
1379,327
1380,812
1381,1413
1382,2137
1383,2984
1384,3950
1385,5027
1386,6212
1387,7482
1388,8834
1389,10238
1390,11683
1391,13142
1392,14593
1393,16008
1394,17366
1395,18638
1396,19795
1397,20823
1398,21682
1399,22367
1400,22846
1401,23107
1402,23135
1403,22921
1404,22451
1405,21734
1406,20756
1407,19533
1408,18067
1409,16373
1410,14470
1411,12370
1412,10108
1413,7693
1414,5177
1415,2564
1416,-86
1417,-2765
1418,-5418
1419,-8026
1420,-10547
1421,-12950
1422,-15209
1423,-17285
1424,-19168
1425,-20817
1426,-22225
1427,-23374
1428,-24246
1429,-24843
1430,-25153
1431,-25185
1432,-24934
1433,-24420
1434,-23650
1435,-22641
1436,-21418
1437,-19998
1438,-18411
1439,-16686
1440,-14849
1441,-12930
1442,-10967
1443,-8982
1444,-7013
1445,-5082
1446,-3228
1447,-1460
1448,179
1449,1687
1450,3033
1451,4208
1452,5211
1453,6012
1454,6640
1455,7063
1456,7311
1457,7381
1458,7279
1459,7035
1460,6646
1461,6148
1462,5549
1463,4881
1464,4156
1465,3408
1466,2651
1467,1911
1468,1213
1469,565
1470,3
1471,-479
1472,-847
1473,-1109
1474,-1240
1475,-1254
1476,-1132
1477,-895
1478,-525
1479,-56
1480,526
1481,1187
1482,1927
1483,2725
1484,3551
1485,4410
1486,5250
1487,6085
1488,6867
1489,7592
1490,8241
1491,8789
1492,9237
1493,9556
1494,9751
1495,9804
1496,9719
1497,9494
1498,9125
1499,8629
1500,8002
1501,7265
1502,6426
1503,5500
1504,4512
1505,3472
1506,2412
1507,1342
1508,291
1509,-719
1510,-1675
1511,-2541
1512,-3320
1513,-3971
1514,-4502
1515,-4884
1516,-5118
1517,-5196
1518,-5110
1519,-4871
1520,-4470
1521,-3929
1522,-3245
1523,-2440
1524,-1531
1525,-530
1526,529
1527,1638
1528,2759
1529,3873
1530,4954
1531,5973
1532,6905
1533,7732
1534,8415
1535,8959
1536,9313
1537,9496
1538,9466
1539,9234
1540,8785
1541,8123
1542,7244
1543,6165
1544,4885
1545,3427
1546,1805
1547,43
1548,-1842
1549,-3812
1550,-5848
1551,-7917
1552,-9982
1553,-12019
1554,-13991
1555,-15866
1556,-17616
1557,-19212
1558,-20623
1559,-21829
1560,-22807
1561,-23538
1562,-24012
1563,-24213
1564,-24138
1565,-23784
1566,-23157
1567,-22255
1568,-21099
1569,-19695
1570,-18068
1571,-16232
1572,-14223
1573,-12051
1574,-9764
1575,-7381
1576,-4933
1577,-2463
1578,9
1579,2446
1580,4814
1581,7091
1582,9244
1583,11253
1584,13092
1585,14750
1586,16199
1587,17442
1588,18463
1589,19258
1590,19832
1591,20180
1592,20320
1593,20250
1594,19994
1595,19558
1596,18971
1597,18242
1598,17400
1599,16462
1600,15457
1601,14400
1602,13321
1603,12236
1604,11166
1605,10134
1606,9148
1607,8229
1608,7384
1609,6626
1610,5955
1611,5382
1612,4894
1613,4503
1614,4191
1615,3958
1616,3788
1617,3671
1618,3593
1619,3538
1620,3492
1621,3433
1622,3350
1623,3221
1624,3041
1625,2783
1626,2445
1627,2008
1628,1475
1629,825
1630,74
1631,-799
1632,-1769
1633,-2848
1634,-4019
1635,-5269
1636,-6587
1637,-7955
1638,-9354
1639,-10762
1640,-12163
1641,-13522
1642,-14830
1643,-16051
1644,-17170
1645,-18160
1646,-19003
1647,-19677
1648,-20169
1649,-20460
1650,-20543
1651,-20405
1652,-20047
1653,-19462
1654,-18655
1655,-17638
1656,-16406
1657,-14990
1658,-13394
1659,-11643
1660,-9762
1661,-7772
1662,-5700
1663,-3584
1664,-1437
1665,690
1666,2786
1667,4800
1668,6725
1669,8512
1670,10153
1671,11613
1672,12875
1673,13925
1674,14742
1675,15326
1676,15660
1677,15756
1678,15597
1679,15214
1680,14593
1681,13767
1682,12744
1683,11543
1684,10202
1685,8726
1686,7166
1687,5528
1688,3867
1689,2193
1690,548
1691,-1037
1692,-2542
1693,-3931
1694,-5183
1695,-6279
1696,-7192
1697,-7913
1698,-8433
1699,-8730
1700,-8814
1701,-8682
1702,-8327
1703,-7776
1704,-7016
1705,-6090
1706,-4988
1707,-3754
1708,-2395
1709,-944
1710,571
1711,2127
1712,3692
1713,5241
1714,6744
1715,8174
1716,9509
1717,10722
1718,11797
1719,12711
1720,13452
1721,14008
1722,14372
1723,14536
1724,14502
1725,14272
1726,13851
1727,13251
1728,12479
1729,11553
1730,10496
1731,9315
1732,8045
1733,6702
1734,5301
1735,3888
1736,2457
1737,1057
1738,-307
1739,-1611
1740,-2830
1741,-3958
1742,-4977
1743,-5876
1744,-6644
1745,-7290
1746,-7787
1747,-8169
1748,-8405
1749,-8535
1750,-8540
1751,-8456
1752,-8275
1753,-8036
1754,-7732
1755,-7399
1756,-7046
1757,-6688
1758,-6360
1759,-6053
1760,-5806
1761,-5619
1762,-5504
1763,-5486
1764,-5543
1765,-5717
1766,-5967
1767,-6334
1768,-6775
1769,-7313
1770,-7915
1771,-8582
1772,-9295
1773,-10029
1774,-10781
1775,-11507
1776,-12212
1777,-12851
1778,-13415
1779,-13878
1780,-14218
1781,-14419
1782,-14461
1783,-14326
1784,-14010
1785,-13490
1786,-12772
1787,-11848
1788,-10714
1789,-9381
1790,-7855
1791,-6143
1792,-4270
1793,-2242
1794,-94
1795,2160
1796,4488
1797,6863
1798,9249
1799,11625
1800,13943
1801,16193
1802,18316
1803,20310
1804,22116
1805,23739
1806,25125
1807,26277
1808,27159
1809,27770
1810,28088
1811,28122
1812,27854
1813,27297
1814,26460
1815,25338
1816,23974
1817,22357
1818,20528
1819,18511
1820,16321
1821,14011
1822,11589
1823,9106
1824,6587
1825,4062
1826,1580
1827,-849
1828,-3172
1829,-5380
1830,-7433
1831,-9316
1832,-11007
1833,-12490
1834,-13752
1835,-14786
1836,-15586
1837,-16152
1838,-16489
1839,-16603
1840,-16503
1841,-16209
1842,-15727
1843,-15091
1844,-14309
1845,-13414
1846,-12427
1847,-11368
1848,-10277
1849,-9157
1850,-8060
1851,-6978
1852,-5966
1853,-5007
1854,-4155
1855,-3389
1856,-2753
1857,-2224
1858,-1839
1859,-1563
1860,-1438
1861,-1411
1862,-1521
1863,-1719
1864,-2021
1865,-2394
1866,-2830
1867,-3308
1868,-3809
1869,-4316
1870,-4805
1871,-5264
1872,-5663
1873,-6002
1874,-6246
1875,-6401
1876,-6439
1877,-6363
1878,-6162
1879,-5835
1880,-5381
1881,-4807
1882,-4108
1883,-3310
1884,-2409
1885,-1428
1886,-381
1887,717
1888,1841
1889,2975
1890,4094
1891,5184
1892,6213
1893,7171
1894,8032
1895,8783
1896,9405
1897,9887
1898,10216
1899,10392
1900,10393
1901,10244
1902,9916
1903,9446
1904,8813
1905,8051
1906,7162
1907,6169
1908,5090
1909,3941
1910,2761
1911,1547
1912,359
1913,-809
1914,-1914
1915,-2936
1916,-3857
1917,-4649
1918,-5297
1919,-5782
1920,-6095
1921,-6217
1922,-6155
1923,-5889
1924,-5438
1925,-4784
1926,-3962
1927,-2958
1928,-1805
1929,-516
1930,893
1931,2383
1932,3949
1933,5543
1934,7147
1935,8728
1936,10254
1937,11699
1938,13034
1939,14225
1940,15254
1941,16095
1942,16729
1943,17135
1944,17309
1945,17226
1946,16896
1947,16310
1948,15469
1949,14389
1950,13067
1951,11532
1952,9794
1953,7877
1954,5810
1955,3611
1956,1320
1957,-1039
1958,-3426
1959,-5818
1960,-8174
1961,-10467
1962,-12662
1963,-14729
1964,-16648
1965,-18383
1966,-19922
1967,-21237
1968,-22323
1969,-23159
1970,-23746
1971,-24073
1972,-24147
1973,-23965
1974,-23547
1975,-22889
1976,-22023
1977,-20953
1978,-19706
1979,-18307
1980,-16776
1981,-15138
1982,-13430
1983,-11659
1984,-9875
1985,-8084
1986,-6322
1987,-4609
1988,-2963
1989,-1407
1990,42
1991,1381
1992,2584
1993,3663
1994,4593
1995,5394
1996,6052
1997,6585
1998,6990
1999,7288
2000,7485
2001,7595
2002,7638
2003,7626
2004,7581
2005,7517
2006,7452
2007,7399
2008,7382
2009,7400
2010,7479
2011,7621
2012,7830
2013,8118
2014,8484
2015,8916
2016,9435
2017,9997
2018,10638
2019,11301
2020,12005
2021,12716
2022,13423
2023,14107
2024,14746
2025,15322
2026,15812
2027,16203
2028,16468
2029,16596
2030,16573
2031,16377
2032,16012
2033,15453
2034,14716
2035,13778
2036,12661
2037,11355
2038,9879
2039,8246
2040,6463
2041,4558
2042,2551
2043,455
2044,-1683
2045,-3855
2046,-6023
2047,-8155
2048,-10230
2049,-12212
2050,-14074
2051,-15791
2052,-17335
2053,-18689
2054,-19823
2055,-20730
2056,-21394
2057,-21798
2058,-21953
2059,-21837
2060,-21471
2061,-20846
2062,-19987
2063,-18892
2064,-17602
2065,-16108
2066,-14468
2067,-12677
2068,-10791
2069,-8822
2070,-6806
2071,-4786
2072,-2771
2073,-821
2074,1058
2075,2826
2076,4452
2077,5931
2078,7216
2079,8313
2080,9194
2081,9855
2082,10285
2083,10492
2084,10463
2085,10223
2086,9763
2087,9111
2088,8277
2089,7283
2090,6153
2091,4908
2092,3580
2093,2194
2094,777
2095,-637
2096,-2027
2097,-3356
2098,-4608
2099,-5753
2100,-6767
2101,-7636
2102,-8341
2103,-8870
2104,-9210
2105,-9361
2106,-9314
2107,-9076
2108,-8651
2109,-8040
2110,-7272
2111,-6339
2112,-5277
2113,-4098
2114,-2823
2115,-1480
2116,-85
2117,1327
2118,2745
2119,4126
2120,5466
2121,6732
2122,7900
2123,8975
2124,9900
2125,10714
2126,11355
2127,11859
2128,12195
2129,12373
2130,12401
2131,12268
2132,12004
2133,11598
2134,11082
2135,10465
2136,9757
2137,8993
2138,8173
2139,7334
2140,6482
2141,5649
2142,4839
2143,4086
2144,3387
2145,2773
2146,2240
2147,1807
