,M
52699,-9872
52700,-8086
52701,-6320
52702,-4611
52703,-2962
52704,-1409
52705,45
52706,1379
52707,2586
52708,3661
52709,4594
52710,5393
52711,6053
52712,6584
52713,6992
52714,7287
52715,7484
52716,7596
52717,7637
52718,7627
52719,7581
52720,7517
52721,7450
52722,7403
52723,7377
52724,7405
52725,7476
52726,7621
52727,7831
52728,8119
52729,8480
52730,8922
52731,9427
52732,10005
52733,10632
52734,11305
52735,12002
52736,12718
52737,13421
52738,14109
52739,14746
52740,15320
52741,15815
52742,16200
52743,16469
52744,16597
52745,16570
52746,16381
52747,16009
52748,15456
52749,14713
52750,13780
52751,12659
52752,11357
52753,9879
52754,8246
52755,6462
52756,4560
52757,2547
52758,459
52759,-1685
52760,-3855
52761,-6021
52762,-8158
52763,-10228
52764,-12213
52765,-14072
52766,-15794
52767,-17332
52768,-18692
52769,-19820
52770,-20733
52771,-21390
52772,-21803
52773,-21948
52774,-21842
52775,-21466
52776,-20851
52777,-19982
52778,-18897
52779,-17597
52780,-16112
52781,-14466
52782,-12679
52783,-10789
52784,-8822
52785,-6807
52786,-4784
52787,-2775
52788,-817
52789,1056
52790,2826
52791,4454
52792,5928
52793,7218
52794,8312
52795,9196
52796,9851
52797,10290
52798,10487
52799,10467
52800,10221
52801,9764
52802,9111
52803,8276
52804,7283
52805,6153
52806,4909
52807,3579
52808,2194
52809,777
52810,-638
52811,-2025
52812,-3358
52813,-4607
52814,-5754
52815,-6765
52816,-7639
52817,-8339
52818,-8870
52819,-9212
52820,-9358
52821,-9315
52822,-9078
52823,-8647
52824,-8046
52825,-7265
52826,-6344
52827,-5274
52828,-4100
52829,-2823
52830,-1478
52831,-88
52832,1331
52833,2740
52834,4130
52835,5464
52836,6732
52837,7903
52838,8969
52839,9907
52840,10707
52841,11360
52842,11858
52843,12192
52844,12379
52845,12395
52846,12272
52847,12001
52848,11599
52849,11083
52850,10464
52851,9759
52852,8989
52853,8177
52854,7330
52855,6486
52856,5646
52857,4842
52858,4083
52859,3390
52860,2770
52861,2242
52862,1807
52863,1473
52864,1247
52865,1119
52866,1098
52867,1169
52868,1328
52869,1560
52870,1854
52871,2195
52872,2561
52873,2942
52874,3306
52875,3648
52876,3933
52877,4157
52878,4284
52879,4314
52880,4220
52881,3995
52882,3625
52883,3105
52884,2423
52885,1595
52886,599
52887,-536
52888,-1823
52889,-3232
52890,-4756
52891,-6376
52892,-8070
52893,-9814
52894,-11582
52895,-13352
52896,-15084
52897,-16768
52898,-18350
52899,-19826
52900,-21156
52901,-22310
52902,-23279
52903,-24022
52904,-24538
52905,-24800
52906,-24800
52907,-24530
52908,-23986
52909,-23165
52910,-22076
52911,-20725
52912,-19123
52913,-17289
52914,-15242
52915,-13006
52916,-10607
52917,-8075
52918,-5440
52919,-2738
52920,-1
52921,2740
52922,5438
52923,8077
52924,10605
52925,13008
52926,15241
52927,17289
52928,19123
52929,20725
52930,22076
52931,23166
52932,23985
52933,24531
52934,24798
52935,24803
52936,24534
52937,24027
52938,23275
52939,22312
52940,21155
52941,19825
52942,18353
52943,16764
52944,15088
52945,13349
52946,11584
52947,9813
52948,8069
52949,6379
52950,4752
52951,3237
52952,1818
52953,539
52954,-599
52955,-1595
52956,-2424
52957,-3105
52958,-3625
52959,-3994
52960,-4220
52961,-4314
52962,-4286
52963,-4155
52964,-3934
52965,-3647
52966,-3308
52967,-2940
52968,-2563
52969,-2193
52970,-1855
52971,-1560
52972,-1328
52973,-1169
52974,-1098
52975,-1119
52976,-1248
52977,-1471
52978,-1809
52979,-2240
52980,-2771
52981,-3390
52982,-4083
52983,-4842
52984,-5647
52985,-6482
52986,-7335
52987,-8173
52988,-8991
52989,-9760
52990,-10462
52991,-11083
52992,-11601
52993,-12000
52994,-12270
52995,-12400
52996,-12372
52997,-12200
52998,-11852
52999,-11363
53000,-10705
53001,-9909
53002,-8968
53003,-7903
53004,-6732
53005,-5464
53006,-4130
53007,-2741
53008,-1328
53009,84
53010,1481
53011,2822
53012,4099
53013,5276
53014,6341
53015,7269
53016,8043
53017,8648
53018,9078
53019,9314
53020,9360
53021,9212
53022,8868
53023,8341
53024,7637
53025,6768
53026,5751
53027,4609
53028,3356
53029,2026
53030,639
53031,-778
53032,-2194
53033,-3580
53034,-4908
53035,-6154
53036,-7280
53037,-8281
53038,-9106
53039,-9769
53040,-10216
53041,-10470
53042,-10487
53043,-10289
53044,-9852
53045,-9195
53046,-8311
53047,-7221
53048,-5925
53049,-4457
53050,-2823
53051,-1058
53052,818
53053,2776
53054,4782
53055,6808
53056,8822
53057,10789
53058,12680
53059,14465
53060,16111
53061,17598
53062,18896
53063,19985
53064,20847
53065,21471
53066,21836
53067,21954
53068,21797
53069,21397
53070,20726
53071,19828
53072,18684
53073,17338
53074,15790
53075,14074
53076,12213
53077,10228
53078,8157
53079,6022
53080,3855
53081,1684
53082,-457
53083,-2550
53084,-4557
53085,-6464
53086,-8245
53087,-9879
53088,-11358
53089,-12657
53090,-13782
53091,-14711
53092,-15458
53093,-16009
53094,-16379
53095,-16571
53096,-16598
53097,-16467
53098,-16203
53099,-15812
53100,-15322
53101,-14746
53102,-14107
53103,-13424
53104,-12715
53105,-12005
53106,-11302
53107,-10635
53108,-10001
53109,-9432
53110,-8918
53111,-8482
53112,-8119
53113,-7829
53114,-7622
53115,-7478
53116,-7402
53117,-7379
53118,-7402
53119,-7450
53120,-7518
53121,-7579
53122,-7629
53123,-7636
53124,-7596
53125,-7484
53126,-7287
53127,-6992
53128,-6584
53129,-6053
53130,-5392
53131,-4595
53132,-3660
53133,-2588
53134,-1378
53135,-44
53136,1407
53137,2966
53138,4606
53139,6323
53140,8084
53141,9873
53142,11663
53143,13427
53144,15140
53145,16774
53146,18308
53147,19706
53148,20954
53149,22021
53150,22891
53151,23545
53152,23967
53153,24145
53154,24076
53155,23742
53156,23163
53157,22319
53158,21241
53159,19919
53160,18385
53161,16646
53162,14731
53163,12662
53164,10465
53165,8176
53166,5817
53167,3427
53168,1039
53169,-1322
53170,-3609
53171,-5811
53172,-7875
53173,-9796
53174,-11532
53175,-13067
53176,-14388
53177,-15470
53178,-16309
53179,-16897
53180,-17228
53181,-17305
53182,-17138
53183,-16728
53184,-16094
53185,-15257
53186,-14223
53187,-13034
53188,-11699
53189,-10255
53190,-8727
53191,-7148
53192,-5542
53193,-3948
53194,-2385
53195,-893
53196,517
53197,1803
53198,2962
53199,3957
53200,4788
53201,5435
53202,5891
53203,6153
53204,6220
53205,6092
53206,5784
53207,5296
53208,4649
53209,3857
53210,2937
53211,1915
53212,805
53213,-353
53214,-1553
53215,-2757
53216,-3943
53217,-5089
53218,-6169
53219,-7162
53220,-8051
53221,-8815
53222,-9441
53223,-9923
53224,-10236
53225,-10401
53226,-10385
53227,-10220
53228,-9886
53229,-9406
53230,-8781
53231,-8035
53232,-7167
53233,-6218
53234,-5179
53235,-4099
53236,-2971
53237,-1845
53238,-712
53239,377
53240,1430
53241,2409
53242,3307
53243,4113
53244,4803
53245,5383
53246,5834
53247,6162
53248,6364
53249,6438
53250,6402
53251,6245
53252,6003
53253,5662
53254,5266
53255,4802
53256,4320
53257,3805
53258,3311
53259,2828
53260,2396
53261,2018
53262,1723
53263,1516
53264,1416
53265,1434
53266,1565
53267,1838
53268,2225
53269,2752
53270,3390
53271,4153
53272,5009
53273,5964
53274,6980
53275,8058
53276,9158
53277,10277
53278,11367
53279,12428
53280,13412
53281,14311
53282,15090
53283,15728
53284,16208
53285,16503
53286,16603
53287,16490
53288,16150
53289,15589
53290,14783
53291,13755
53292,12487
53293,11009
53294,9314
53295,7436
53296,5376
53297,3177
53298,844
53299,-1577
53300,-4063
53301,-6588
53302,-9103
53303,-11592
53304,-14009
53305,-16322
53306,-18512
53307,-20526
53308,-22360
53309,-23969
53310,-25343
53311,-26457
53312,-27299
53313,-27854
53314,-28120
53315,-28090
53316,-27769
53317,-27161
53318,-26273
53319,-25131
53320,-23732
53321,-22124
53322,-20303
53323,-18321
53324,-16188
53325,-13948
53326,-11621
53327,-9252
53328,-6861
53329,-4487
53330,-2162
53331,94
53332,2243
53333,4270
53334,6142
53335,7858
53336,9376
53337,10719
53338,11844
53339,12774
53340,13491
53341,14008
53342,14327
53343,14461
53344,14418
53345,14220
53346,13876
53347,13416
53348,12851
53349,12210
53350,11510
53351,10778
53352,10032
53353,9292
53354,8584
53355,7914
53356,7313
53357,6777
53358,6331
53359,5970
53360,5714
53361,5545
53362,5486
53363,5502
53364,5624
53365,5798
53366,6061
53367,6353
53368,6693
53369,7045
53370,7397
53371,7735
53372,8032
53373,8280
53374,8450
53375,8548
53376,8525
53377,8415
53378,8160
53379,7795
53380,7284
53381,6648
53382,5873
53383,4979
53384,3956
53385,2834
53386,1607
53387,309
53388,-1057
53389,-2459
53390,-3884
53391,-5306
53392,-6698
53393,-8047
53394,-9314
53395,-10496
53396,-11554
53397,-12479
53398,-13249
53399,-13853
53400,-14270
53401,-14505
53402,-14533
53403,-14373
53404,-14008
53405,-13452
53406,-12712
53407,-11795
53408,-10722
53409,-9512
53410,-8170
53411,-6748
53412,-5237
53413,-3695
53414,-2126
53415,-571
53416,943
53417,2398
53418,3750
53419,4991
53420,6088
53421,7017
53422,7775
53423,8330
53424,8678
53425,8817
53426,8729
53427,8433
53428,7911
53429,7197
53430,6273
53431,5187
53432,3930
53433,2541
53434,1038
53435,-548
53436,-2196
53437,-3862
53438,-5532
53439,-7164
53440,-8726
53441,-10202
53442,-11544
53443,-12743
53444,-13768
53445,-14593
53446,-15210
53447,-15604
53448,-15748
53449,-15669
53450,-15317
53451,-14750
53452,-13919
53453,-12879
53454,-11611
53455,-10153
53456,-8514
53457,-6722
53458,-4803
53459,-2784
53460,-692
53461,1440
53462,3581
53463,5703
53464,7770
53465,9762
53466,11644
53467,13393
53468,14990
53469,16407
53470,17637
53471,18655
53472,19463
53473,20045
53474,20407
53475,20542
53476,20460
53477,20170
53478,19676
53479,19004
53480,18160
53481,17168
53482,16053
53483,14828
53484,13525
53485,12161
53486,10761
53487,9356
53488,7953
53489,6589
53490,5268
53491,4018
53492,2849
53493,1771
53494,796
53495,-72
53496,-827
53497,-1473
53498,-2008
53499,-2446
53500,-2782
53501,-3041
53502,-3222
53503,-3349
53504,-3434
53505,-3491
53506,-3537
53507,-3595
53508,-3670
53509,-3789
53510,-3956
53511,-4194
53512,-4499
53513,-4898
53514,-5380
53515,-5953
53516,-6630
53517,-7381
53518,-8231
53519,-9147
53520,-10133
53521,-11167
53522,-12236
53523,-13322
53524,-14398
53525,-15459
53526,-16461
53527,-17400
53528,-18244
53529,-18967
53530,-19563
53531,-19990
53532,-20253
53533,-20317
53534,-20183
53535,-19830
53536,-19259
53537,-18462
53538,-17443
53539,-16199
53540,-14750
53541,-13091
53542,-11255
53543,-9242
53544,-7092
53545,-4815
53546,-2445
53547,-9
53548,2462
53549,4935
53550,7379
53551,9764
53552,12053
53553,14222
53554,16231
53555,18071
53556,19692
53557,21101
53558,22254
53559,23157
53560,23785
53561,24138
53562,24212
53563,24012
53564,23538
53565,22808
53566,21828
53567,20625
53568,19208
53569,17620
53570,15864
53571,13992
53572,12019
53573,9982
53574,7917
53575,5848
53576,3813
53577,1840
53578,-41
53579,-1806
53580,-3426
53581,-4887
53582,-6162
53583,-7248
53584,-8118
53585,-8789
53586,-9231
53587,-9469
53588,-9492
53589,-9318
53590,-8953
53591,-8421
53592,-7727
53593,-6909
53594,-5971
53595,-4955
53596,-3872
53597,-2761
53598,-1636
53599,-531
53600,531
53601,1532
53602,2437
53603,3250
53604,3922
53605,4478
53606,4863
53607,5117
53608,5191
53609,5122
53610,4882
53611,4502
53612,3972
53613,3318
53614,2544
53615,1673
53616,720
53617,-292
53618,-1341
53619,-2412
53620,-3472
53621,-4512
53622,-5501
53623,-6425
53624,-7265
53625,-8001
53626,-8630
53627,-9124
53628,-9496
53629,-9717
53630,-9805
53631,-9750
53632,-9558
53633,-9233
53634,-8794
53635,-8236
53636,-7596
53637,-6866
53638,-6083
53639,-5254
53640,-4406
53641,-3554
53642,-2723
53643,-1928
53644,-1187
53645,-526
53646,56
53647,526
53648,893
53649,1134
53650,1253
53651,1241
53652,1107
53653,850
53654,474
53655,3
53656,-570
53657,-1210
53658,-1912
53659,-2652
53660,-3406
53661,-4158
53662,-4880
53663,-5549
53664,-6148
53665,-6648
53666,-7031
53667,-7284
53668,-7376
53669,-7314
53670,-7064
53671,-6636
53672,-6017
53673,-5206
53674,-4211
53675,-3033
53676,-1685
53677,-183
53678,1465
53679,3223
53680,5088
53681,7007
53682,8987
53683,10962
53684,12934
53685,14847
53686,16687
53687,18411
53688,19999
53689,21416
53690,22642
53691,23650
53692,24420
53693,24935
53694,25184
53695,25153
53696,24843
53697,24248
53698,23370
53699,22230
53700,20813
53701,19169
53702,17286
53703,15208
53704,12951
53705,10546
53706,8026
53707,5419
53708,2763
53709,90
53710,-2569
53711,-5173
53712,-7695
53713,-10108
53714,-12368
53715,-14473
53716,-16370
53717,-18070
53718,-19530
53719,-20759
53720,-21731
53721,-22454
53722,-22919
53723,-23136
53724,-23106
53725,-22848
53726,-22365
53727,-21684
53728,-20821
53729,-19796
53730,-18638
53731,-17366
53732,-16008
53733,-14593
53734,-13142
53735,-11681
53736,-10242
53737,-8829
53738,-7487
53739,-6208
53740,-5030
53741,-3949
53742,-2983
53743,-2138
53744,-1413
53745,-811
53746,-329
53747,40
53748,305
53749,475
53750,564
53751,591
53752,559
53753,508
53754,428
53755,362
53756,308
53757,296
53758,331
53759,433
53760,612
53761,878
53762,1233
53763,1692
53764,2239
53765,2899
53766,3633
53767,4470
53768,5370
53769,6341
53770,7353
53771,8409
53772,9462
53773,10525
53774,11548
53775,12528
53776,13441
53777,14261
53778,14972
53779,15557
53780,15993
53781,16275
53782,16383
53783,16312
53784,16054
53785,15608
53786,14970
53787,14152
53788,13149
53789,11988
53790,10666
53791,9213
53792,7640
53793,5973
53794,4237
53795,2456
53796,655
53797,-1133
53798,-2885
53799,-4571
53800,-6165
53801,-7643
53802,-8976
53803,-10152
53804,-11139
53805,-11935
53806,-12519
53807,-12883
53808,-13027
53809,-12943
53810,-12636
53811,-12120
53812,-11390
53813,-10479
53814,-9384
53815,-8148
53816,-6776
53817,-5302
53818,-3759
53819,-2159
53820,-556
53821,1042
53822,2592
53823,4062
53824,5441
53825,6677
53826,7770
53827,8683
53828,9403
53829,9916
53830,10207
53831,10274
53832,10106
53833,9714
53834,9090
53835,8257
53836,7216
53837,5990
53838,4596
53839,3059
53840,1399
53841,-348
53842,-2165
53843,-4008
53844,-5858
53845,-7680
53846,-9441
53847,-11117
53848,-12677
53849,-14097
53850,-15352
53851,-16426
53852,-17295
53853,-17954
53854,-18386
53855,-18586
53856,-18557
53857,-18291
53858,-17806
53859,-17096
53860,-16190
53861,-15086
53862,-13818
53863,-12398
53864,-10852
53865,-9201
53866,-7478
53867,-5702
53868,-3903
53869,-2108
53870,-336
53871,1379
53872,3022
53873,4573
53874,6007
53875,7318
53876,8488
53877,9511
53878,10376
53879,11090
53880,11638
53881,12045
53882,12296
53883,12414
53884,12406
53885,12282
53886,12068
53887,11769
53888,11410
53889,11010
53890,10579
53891,10146
53892,9719
53893,9318
53894,8962
53895,8651
53896,8410
53897,8233
53898,8137
53899,8116
53900,8176
53901,8304
53902,8510
53903,8768
53904,9076
53905,9423
53906,9782
53907,10152
53908,10503
53909,10819
53910,11083
53911,11275
53912,11373
53913,11364
53914,11229
53915,10954
53916,10527
53917,9939
53918,9182
53919,8251
53920,7153
53921,5875
53922,4446
53923,2852
53924,1126
53925,-726
53926,-2688
53927,-4722
53928,-6825
53929,-8951
53930,-11084
53931,-13193
53932,-15241
53933,-17212
53934,-19058
53935,-20770
53936,-22308
53937,-23651
53938,-24777
53939,-25670
53940,-26300
53941,-26676
53942,-26767
53943,-26580
53944,-26118
53945,-25370
53946,-24357
53947,-23087
53948,-21566
53949,-19836
53950,-17888
53951,-15782
53952,-13516
53953,-11143
53954,-8684
53955,-6171
53956,-3648
53957,-1136
53958,1319
53959,3696
53960,5955
53961,8075
53962,10025
53963,11783
53964,13334
53965,14653
53966,15738
53967,16575
53968,17161
53969,17496
53970,17588
53971,17440
53972,17069
53973,16487
53974,15715
53975,14772
53976,13685
53977,12478
53978,11175
53979,9816
53980,8406
53981,7002
53982,5604
53983,4262
53984,2979
53985,1797
53986,716
53987,-229
53988,-1035
53989,-1688
53990,-2180
53991,-2513
53992,-2676
53993,-2686
53994,-2535
53995,-2247
53996,-1826
53997,-1286
53998,-654
53999,62
54000,835
54001,1640
54002,2468
54003,3280
54004,4071
54005,4804
54006,5475
54007,6054
54008,6538
54009,6898
54010,7143
54011,7244
54012,7220
54013,7045
54014,6747
54015,6304
54016,5746
54017,5071
54018,4292
54019,3433
54020,2503
54021,1520
54022,512
54023,-512
54024,-1520
54025,-2504
54026,-3430
54027,-4296
54028,-5069
54029,-5745
54030,-6308
54031,-6741
54032,-7051
54033,-7215
54034,-7249
54035,-7138
54036,-6903
54037,-6533
54038,-6058
54039,-5473
54040,-4806
54041,-4068
54042,-3283
54043,-2465
54044,-1643
54045,-834
54046,-60
54047,651
54048,1289
54049,1823
54050,2248
54051,2537
54052,2683
54053,2679
54054,2509
54055,2183
54056,1688
54057,1033
54058,233
54059,-722
54060,-1792
54061,-2981
54062,-4262
54063,-5603
54064,-7002
54065,-8409
54066,-9811
54067,-11180
54068,-12474
54069,-13688
54070,-14771
54071,-15715
54072,-16486
54073,-17070
54074,-17440
54075,-17588
54076,-17496
54077,-17160
54078,-16577
54079,-15735
54080,-14656
54081,-13332
54082,-11783
54083,-10027
54084,-8072
54085,-5957
54086,-3696
54087,-1318
54088,1136
54089,3647
54090,6173
54091,8682
54092,11144
54093,13516
54094,15781
54095,17890
54096,19834
54097,21568
54098,23085
54099,24358
54100,25371
54101,26115
54102,26583
54103,26767
54104,26674
54105,26302
54106,25669
54107,24775
54108,23656
54109,22303
54110,20773
54111,19056
54112,17213
54113,15241
54114,13193
54115,11083
54116,8953
54117,6822
54118,4725
54119,2686
54120,725
54121,-1122
54122,-2857
54123,-4441
54124,-5879
54125,-7151
54126,-8251
54127,-9184
54128,-9935
54129,-10531
54130,-10951
54131,-11231
54132,-11363
54133,-11373
54134,-11275
54135,-11084
54136,-10817
54137,-10506
54138,-10147
54139,-9787
54140,-9421
54141,-9074
54142,-8772
54143,-8504
54144,-8310
54145,-8173
54146,-8117
54147,-8135
54148,-8236
54149,-8407
54150,-8654
54151,-8959
54152,-9320
54153,-9720
54154,-10143
54155,-10583
54156,-11005
54157,-11414
54158,-11768
54159,-12066
54160,-12287
54161,-12402
54162,-12415
54163,-12298
54164,-12040
54165,-11643
54166,-11088
54167,-10376
54168,-9512
54169,-8487
54170,-7317
54171,-6010
54172,-4570
54173,-3024
54174,-1378
54175,336
54176,2108
54177,3902
54178,5703
54179,7477
54180,9203
54181,10851
54182,12398
54183,13817
54184,15089
54185,16186
54186,17100
54187,17802
54188,18294
54189,18556
54190,18586
54191,18387
54192,17952
54193,17297
54194,16424
54195,15353
54196,14097
54197,12677
54198,11118
54199,9439
54200,7682
54201,5855
54202,4012
54203,2161
54204,351
54205,-1400
54206,-3059
54207,-4596
54208,-5991
54209,-7214
54210,-8259
54211,-9088
54212,-9717
54213,-10103
54214,-10276
54215,-10205
54216,-9918
54217,-9401
54218,-8686
54219,-7766
54220,-6682
54221,-5435
54222,-4067
54223,-2590
54224,-1041
54225,553
54226,2162
54227,3758
54228,5300
54229,6780
54230,8143
54231,9390
54232,10473
54233,11394
54234,12117
54235,12638
54236,12944
54237,13025
54238,12883
54239,12520
54240,11933
54241,11143
54242,10148
54243,8979
54244,7640
54245,6168
54246,4569
54247,2886
54248,1133
54249,-656
54250,-2454
54251,-4238
54252,-5973
54253,-7640
54254,-9214
54255,-10665
54256,-11987
54257,-13152
54258,-14148
54259,-14974
54260,-15605
54261,-16056
54262,-16311
54263,-16384
54264,-16272
54265,-15997
54266,-15554
54267,-14973
54268,-14262
54269,-13439
54270,-12529
54271,-11550
54272,-10520
54273,-9468
54274,-8404
54275,-7356
54276,-6340
54277,-5371
54278,-4467
54279,-3637
54280,-2895
54281,-2242
54282,-1691
54283,-1233
54284,-878
54285,-612
54286,-433
54287,-331
54288,-297
54289,-306
54290,-363
54291,-429
54292,-506
54293,-563
54294,-587
54295,-566
54296,-474
54297,-305
54298,-41
54299,330
54300,810
54301,1413
54302,2139
54303,2982
54304,3952
54305,5025
54306,6214
54307,7479
54308,8837
54309,10237
54310,11682
54311,13145
54312,14588
54313,16012
54314,17365
54315,18636
54316,19800
54317,20817
54318,21687
54319,22364
54320,22847
54321,23107
54322,23136
54323,22919
54324,22454
54325,21731
54326,20758
54327,19532
54328,18067
54329,16375
54330,14467
54331,12372
54332,10107
54333,7694
54334,5176
54335,2565
54336,-88
54337,-2763
54338,-5418
54339,-8028
54340,-10544
54341,-12954
54342,-15204
54343,-17290
54344,-19165
54345,-20818
54346,-22225
54347,-23372
54348,-24249
54349,-24841
54350,-25156
54351,-25181
54352,-24936
54353,-24421
54354,-23647
54355,-22646
54356,-21412
54357,-20003
54358,-18408
54359,-16689
54360,-14845
54361,-12934
54362,-10964
54363,-8985
54364,-7010
54365,-5085
54366,-3224
54367,-1464
54368,181
54369,1687
54370,3030
54371,4214
54372,5204
54373,6019
54374,6634
54375,7066
54376,7311
54377,7380
54378,7280
54379,7034
54380,6647
54381,6147
54382,5552
54383,4876
54384,4161
54385,3404
54386,2654
54387,1910
54388,1213
54389,566
54390,1
54391,-476
54392,-851
54393,-1103
54394,-1247
54395,-1246
54396,-1140
54397,-888
54398,-531
54399,-52
54400,523
54401,1189
54402,1928
54403,2722
54404,3554
54405,4406
54406,5253
54407,6085
54408,6866
54409,7592
54410,8241
54411,8790
54412,9236
54413,9557
54414,9749
54415,9805
54416,9720
54417,9492
54418,9128
54419,8626
54420,8004
54421,7264
54422,6425
54423,5502
54424,4510
54425,3475
54426,2409
54427,1344
54428,289
54429,-718
54430,-1674
54431,-2543
54432,-3318
54433,-3973
54434,-4501
54435,-4885
54436,-5117
54437,-5197
54438,-5109
54439,-4872
54440,-4470
54441,-3929
54442,-3244
54443,-2442
54444,-1528
54445,-533
54446,531
54447,1638
54448,2758
54449,3874
54450,4954
54451,5973
54452,6906
54453,7729
54454,8419
54455,8955
54456,9318
54457,9492
54458,9466
54459,9236
54460,8784
54461,8123
54462,7245
54463,6163
54464,4887
54465,3425
54466,1807
54467,41
54468,-1840
54469,-3813
54470,-5849
54471,-7915
54472,-9985
54473,-12015
54474,-13995
54475,-15863
54476,-17619
54477,-19209
54478,-20625
54479,-21828
54480,-22807
54481,-23540
54482,-24009
54483,-24215
54484,-24136
54485,-23786
54486,-23156
54487,-22255
54488,-21100
54489,-19692
54490,-18072
54491,-16229
54492,-14225
54493,-12050
54494,-9765
54495,-7379
54496,-4936
54497,-2460
54498,7
54499,2448
54500,4812
54501,7091
54502,9246
54503,11250
54504,13098
54505,14742
54506,16204
54507,17441
54508,18462
54509,19260
54510,19829
54511,20183
54512,20318
54513,20252
54514,19990
54515,19564
54516,18966
54517,18245
54518,17398
54519,16464
54520,15455
54521,14403
54522,13317
54523,12239
54524,11165
54525,10133
54526,9150
54527,8226
54528,7387
54529,6625
54530,5954
54531,5384
54532,4890
54533,4508
54534,4187
54535,3961
54536,3786
54537,3671
54538,3595
54539,3536
54540,3494
54541,3430
54542,3352
54543,3221
54544,3042
54545,2781
54546,2446
54547,2008
54548,1473
54549,829
54550,69
54551,-794
54552,-1773
54553,-2846
54554,-4020
54555,-5268
54556,-6588
54557,-7954
54558,-9354
54559,-10763
54560,-12161
54561,-13524
54562,-14828
54563,-16052
54564,-17170
54565,-18160
54566,-19002
54567,-19678
54568,-20169
54569,-20460
54570,-20543
54571,-20404
54572,-20049
54573,-19459
54574,-18661
54575,-17630
54576,-16413
54577,-14985
54578,-13397
54579,-11642
54580,-9763
54581,-7769
54582,-5705
54583,-3578
54584,-1444
54585,696
54586,2782
54587,4803
54588,6722
54589,8514
54590,10151
54591,11616
54592,12872
54593,13928
54594,14739
54595,15328
54596,15660
54597,15754
54598,15601
54599,15210
54600,14596
54601,13765
54602,12745
54603,11543
54604,10202
54605,8726
54606,7165
54607,5529
54608,3867
54609,2192
54610,549
54611,-1038
54612,-2541
54613,-3931
54614,-5184
54615,-6277
54616,-7195
54617,-7911
54618,-8433
54619,-8729
54620,-8817
54621,-8678
54622,-8331
54623,-7772
54624,-7020
54625,-6087
54626,-4990
54627,-3752
54628,-2395
54629,-946
54630,572
54631,2127
54632,3693
54633,5239
54634,6746
54635,8172
54636,9511
54637,10721
54638,11797
54639,12711
54640,13452
54641,14009
54642,14370
54643,14538
54644,14500
54645,14274
54646,13850
54647,13250
54648,12480
54649,11553
54650,10496
54651,9315
54652,8045
54653,6700
54654,5305
54655,3883
54656,2461
54657,1055
54658,-307
54659,-1610
54660,-2831
54661,-3958
54662,-4977
54663,-5875
54664,-6647
54665,-7285
54666,-7793
54667,-8163
54668,-8410
54669,-8531
54670,-8543
54671,-8454
54672,-8278
54673,-8032
54674,-7734
54675,-7399
54676,-7045
54677,-6691
54678,-6357
54679,-6054
54680,-5806
54681,-5618
54682,-5506
54683,-5484
54684,-5546
54685,-5712
54686,-5973
54687,-6328
54688,-6780
54689,-7311
54690,-7915
54691,-8583
54692,-9293
54693,-10031
54694,-10780
54695,-11507
54696,-12213
54697,-12849
54698,-13416
54699,-13877
54700,-14220
54701,-14417
54702,-14462
54703,-14326
54704,-14009
54705,-13491
54706,-12774
54707,-11844
54708,-10717
54709,-9381
54710,-7853
54711,-6146
54712,-4267
54713,-2245
54714,-92
54715,2160
54716,4487
54717,6864
54718,9248
54719,11625
54720,13945
54721,16189
54722,18321
54723,20305
54724,22120
54725,23736
54726,25127
54727,26276
54728,27159
54729,27771
54730,28088
54731,28121
54732,27854
54733,27298
54734,26458
54735,25342
54736,23971
54737,22357
54738,20530
54739,18507
54740,16326
54741,14007
54742,11593
54743,9102
54744,6588
54745,4064
54746,1576
54747,-843
54748,-3178
54749,-5376
54750,-7436
54751,-9314
54752,-11008
54753,-12489
54754,-13753
54755,-14785
54756,-15588
54757,-16149
54758,-16493
54759,-16599
54760,-16507
54761,-16204
54762,-15731
54763,-15089
54764,-14310
54765,-13415
54766,-12424
54767,-11370
54768,-10276
54769,-9158
54770,-8058
54771,-6982
54772,-5960
54773,-5014
54774,-4148
54775,-3395
54776,-2748
54777,-2229
54778,-1833
54779,-1570
54780,-1430
54781,-1418
54782,-1517
54783,-1720
54784,-2022
54785,-2392
54786,-2831
54787,-3308
54788,-3808
54789,-4317
54790,-4806
54791,-5261
54792,-5666
54793,-5999
54794,-6248
54795,-6401
54796,-6437
54797,-6365
54798,-6161
54799,-5835
54800,-5382
54801,-4804
54802,-4111
54803,-3309
54804,-2409
54805,-1428
54806,-381
54807,718
54808,1839
54809,2977
54810,4092
54811,5186
54812,6211
54813,7174
54814,8029
54815,8785
54816,9403
54817,9889
54818,10216
54819,10390
54820,10396
54821,10239
54822,9923
54823,9440
54824,8815
54825,8051
54826,7162
54827,6170
54828,5088
54829,3943
54830,2757
54831,1553
54832,355
54833,-809
54834,-1911
54835,-2940
54836,-3855
54837,-4648
54838,-5300
54839,-5779
54840,-6096
54841,-6218
54842,-6153
54843,-5892
54844,-5434
54845,-4787
54846,-3961
54847,-2957
54848,-1808
54849,-511
54850,887
54851,2389
54852,3945
54853,5544
54854,7148
54855,8726
54856,10255
54857,11701
54858,13029
54859,14229
54860,15253
54861,16095
54862,16730
54863,17133
54864,17310
54865,17225
54866,16899
54867,16308
54868,15470
54869,14388
54870,13068
54871,11531
54872,9796
54873,7876
54874,5810
